127.0.0.1 - - [08/Dec/2023:08:38:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/ HTTP/1.1" 200 20643
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/css/style.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/img/pro-img/Picture7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/img/pro-img/Picture1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/css/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/css/general.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/img/pro-img/Picture10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/img/pro-img/Picture21.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/img/pro-img/Picture12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:09 +0700] "GET /aishop/resources/assets/js/style.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/about.htm HTTP/1.1" 200 18778
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/aishop_default/bannerabout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/brand/Catrice.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/brand/Bbia.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/brand/Maybelline%20New%20York.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/brand/OIP.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/brand/LOreal%20Paris.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:12 +0700] "GET /aishop/resources/assets/img/brand/OIP%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:13 +0700] "GET /aishop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:13 +0700] "GET /aishop/ HTTP/1.1" 200 20643
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:13 +0700] "GET /aishop/resources/assets/css/style.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:18 +0700] "GET /aishop/about.htm HTTP/1.1" 200 18778
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:25 +0700] "GET /aishop/shop.htm HTTP/1.1" 200 31038
0:0:0:0:0:0:0:1 - - [08/Dec/2023:08:38:25 +0700] "GET /aishop/resources/assets/css/shop-single.css HTTP/1.1" 404 810
